Date,Open,High,Low,Close,Adj Close,Volume
2018-12-20,66.589996,66.980003,65.459999,66.379997,64.508247,143462
2018-12-21,66.970001,72.250000,65.639999,70.580002,68.589813,2042276
2018-12-24,69.949997,70.980003,67.260002,69.959999,67.987297,51361
2018-12-26,69.949997,69.949997,68.169998,68.800003,66.860008,81885
2018-12-27,69.660004,69.889999,67.089996,69.489998,67.530548,135842
2018-12-28,69.489998,70.489998,68.260002,70.099998,68.123344,137054
2018-12-31,70.459999,70.500000,69.610001,70.410004,68.424606,173134
2019-01-02,70.360001,72.489998,70.360001,71.910004,69.882317,107878
2019-01-03,72.080002,72.800003,71.900002,72.739998,70.688904,491182
2019-01-04,73.000000,74.750000,71.959999,74.269997,72.175766,618929
2019-01-07,74.269997,74.269997,73.150002,73.940002,71.855072,254881
2019-01-08,74.760002,77.989998,73.970001,76.349998,74.197113,257715
2019-01-09,76.349998,79.250000,75.559998,77.309998,75.130043,565574
2019-01-10,77.209999,77.599998,75.529999,76.419998,74.265137,489690
2019-01-11,76.669998,77.480003,73.650002,75.879997,73.740356,398822
2019-01-14,76.059998,76.190002,74.559998,75.150002,73.030952,218434
2019-01-15,75.599998,76.000000,73.550003,75.330002,73.205879,539855
2019-01-16,76.290001,77.599998,74.199997,76.360001,74.206833,364363
2019-01-17,77.050003,78.099998,76.529999,77.309998,75.130043,240416
2019-01-18,77.750000,77.750000,77.010002,77.250000,75.071739,636650
2019-01-21,77.250000,77.250000,73.120003,76.690002,74.527534,127022
2019-01-22,76.680000,76.680000,73.250000,74.589996,72.486732,412520
2019-01-23,74.830002,75.750000,73.599998,75.209999,73.089256,286380
2019-01-24,75.750000,76.489998,73.379997,74.239998,72.146614,350238
2019-01-25,74.000000,76.110001,72.370003,73.650002,71.573250,415028
2019-01-28,73.580002,74.830002,72.019997,72.900002,70.844391,865686
2019-01-29,73.300003,75.309998,71.620003,73.800003,71.719017,283734
2019-01-30,73.809998,76.489998,72.019997,74.430000,72.331261,247270
2019-01-31,74.680000,76.250000,73.889999,74.959999,72.846306,508271
2019-02-01,75.139999,75.139999,72.610001,73.940002,71.855072,316639
2019-02-05,74.529999,76.000000,73.680000,74.019997,71.932816,261531
2019-02-06,74.199997,75.489998,73.519997,74.169998,72.078590,524986
2019-02-07,74.989998,74.989998,73.500000,73.989998,71.903656,223121
2019-02-08,73.519997,74.019997,71.699997,71.980003,69.950340,237669
2019-02-11,72.000000,72.849998,70.510002,72.309998,70.271034,140696
2019-02-12,72.489998,73.830002,69.849998,72.410004,70.368217,378280
2019-02-13,72.989998,75.000000,71.529999,71.750000,69.726822,351856
2019-02-14,73.760002,73.760002,70.010002,72.949997,70.892990,380336
2019-02-15,73.309998,74.459999,71.370003,73.220001,71.155373,720464
2019-02-18,72.910004,73.519997,71.730003,71.980003,69.950340,44568
2019-02-19,72.790001,72.989998,70.900002,72.849998,70.795807,72246
2019-02-20,73.029999,74.709999,71.680000,72.639999,70.591721,554417
2019-02-21,72.330002,74.239998,71.800003,73.129997,71.067909,392343
2019-02-22,73.489998,74.180000,72.820000,73.059998,70.999878,437312
2019-02-25,73.330002,76.589996,73.050003,75.980003,73.837555,319569
2019-02-26,76.160004,76.160004,74.430000,75.489998,73.361359,416387
2019-02-27,74.500000,75.010002,73.019997,73.690002,71.612122,444576
2019-02-28,73.720001,73.720001,71.070000,71.370003,69.357544,557204
2019-03-01,71.959999,72.989998,70.970001,72.730003,70.679192,356162
2019-03-04,71.599998,73.339996,71.459999,72.559998,70.513985,367233
2019-03-05,72.250000,73.000000,71.360001,71.970001,69.940620,478616
2019-03-06,72.290001,74.290001,72.290001,73.930000,71.845345,503569
2019-03-07,73.699997,75.000000,72.809998,74.239998,72.146614,552029
2019-03-08,73.900002,75.000000,72.760002,74.029999,71.942528,587468
2019-03-11,74.050003,74.949997,72.900002,73.959999,71.874504,429806
2019-03-12,74.000000,75.000000,73.120003,74.489998,72.389565,500177
2019-03-13,74.970001,75.500000,73.610001,74.389999,72.292381,481264
2019-03-14,73.690002,75.470001,72.510002,72.940002,70.883270,511442
2019-03-15,73.160004,74.970001,69.500000,72.449997,70.407082,11713391
2019-03-19,72.959999,75.910004,71.360001,74.599998,72.496460,1104279
2019-03-20,72.410004,76.000000,72.410004,75.489998,73.361359,1763092
2019-03-21,75.500000,75.849998,74.900002,75.559998,73.429390,532845
2019-03-22,75.550003,76.000000,72.070000,73.610001,71.534378,376202
2019-03-25,73.930000,77.989998,73.620003,75.550003,73.419670,511638
2019-03-26,75.199997,75.459999,74.000000,74.769997,72.661659,391804
2019-03-27,74.730003,75.989998,74.180000,74.949997,72.836594,798399
2019-03-28,75.180000,75.180000,73.199997,73.839996,71.757889,1224102
2019-03-29,74.010002,77.000000,73.320000,76.290001,74.138809,1156797
2019-04-01,76.860001,76.860001,74.000000,74.559998,72.457588,285024
2019-04-02,74.150002,74.599998,72.919998,73.169998,71.106781,849364
2019-04-03,73.589996,74.989998,71.570000,73.790001,71.709305,773588
2019-04-04,73.580002,74.500000,72.449997,72.980003,70.922142,713924
2019-04-05,73.110001,75.129997,73.110001,74.910004,72.797722,506141
2019-04-08,74.550003,74.910004,73.000000,74.449997,72.350685,289462
2019-04-09,73.309998,74.989998,72.550003,74.510002,72.408997,511628
2019-04-10,74.410004,74.699997,73.300003,74.089996,72.000832,657328
2019-04-11,74.199997,74.290001,72.150002,73.989998,71.903656,257048
2019-04-12,74.190002,74.389999,72.019997,72.699997,70.650032,189088
2019-04-15,72.099998,73.419998,71.089996,71.720001,69.697670,212921
2019-04-16,71.900002,73.279999,70.349998,70.500000,68.512077,319990
2019-04-17,70.080002,73.860001,70.080002,73.029999,70.970726,169764
2019-04-22,73.040001,73.879997,70.949997,71.870003,69.843437,135575
2019-04-23,71.510002,72.349998,70.589996,71.529999,69.513031,123191
2019-04-24,71.110001,73.360001,70.419998,72.550003,70.504265,303359
2019-04-25,71.820000,73.889999,71.000000,73.500000,71.427475,394623
2019-04-26,73.220001,73.989998,71.800003,73.339996,71.271988,217618
2019-04-29,72.000000,72.300003,70.470001,70.809998,68.813332,127180
2019-04-30,70.879997,73.709999,70.879997,73.510002,71.437202,526521
2019-05-02,73.139999,74.870003,68.910004,69.809998,67.841522,293479
2019-05-03,70.150002,71.949997,70.150002,70.839996,68.842476,191923
2019-05-06,70.330002,72.730003,69.430000,71.029999,69.027122,196208
2019-05-07,70.000000,71.989998,69.000000,70.910004,68.910515,192827
2019-05-08,70.269997,70.739998,68.699997,69.080002,67.132118,417732
2019-05-09,68.519997,69.580002,66.209999,68.870003,66.928032,462746
2019-05-10,66.830002,69.459999,66.830002,68.209999,66.286636,330945
2019-05-13,68.040001,71.660004,66.430000,71.070000,69.065994,457974
2019-05-14,68.820000,73.070000,68.820000,72.050003,70.018364,592549
2019-05-15,71.989998,73.730003,70.500000,71.290001,69.279785,459402
2019-05-16,71.129997,73.000000,68.959999,69.430000,67.472244,508535
2019-05-17,68.750000,72.820000,68.050003,71.339996,69.328384,463181
2019-05-20,71.339996,74.889999,71.139999,73.309998,71.242828,401119
2019-05-21,73.580002,73.580002,70.510002,71.760002,69.736542,495926
2019-05-22,70.699997,71.480003,69.889999,70.010002,68.035889,216524
2019-05-23,69.550003,69.839996,66.720001,67.660004,65.752159,388262
2019-05-24,67.930000,69.489998,66.059998,69.000000,67.054367,338179
2019-05-27,69.000000,72.489998,67.760002,69.839996,67.870682,168082
2019-05-28,69.300003,70.790001,68.089996,68.629997,66.694801,1628978
2019-05-29,68.629997,70.120003,68.099998,68.419998,66.490723,200235
2019-05-30,68.879997,71.980003,68.879997,71.279999,69.270073,421732
2019-05-31,70.290001,73.989998,69.620003,72.129997,70.096107,508447
2019-06-03,72.470001,72.500000,70.000000,70.300003,68.317711,343084
2019-06-04,70.010002,71.000000,68.760002,70.269997,68.288551,326311
