Date,Open,High,Low,Close,Adj Close,Volume
20/12/18,57,57,57,57,49.261471,0
21/12/18,57,57,57,57,49.261471,0
24/12/18,57,57,57,57,49.261471,0
26/12/18,57,57,57,57,49.261471,0
27/12/18,57,57,57,57,49.261471,0
28/12/18,57,57,57,57,49.261471,0
31/12/18,57,57,57,57,49.261471,0
02/01/19,57,57,57,57,49.261471,0
03/01/19,57,57,57,57,49.261471,0
04/01/19,57,57,57,57,49.261471,0
07/01/19,57,57,57,57,49.261471,0
08/01/19,57,57,57,57,49.261471,0
09/01/19,57,57,57,57,49.261471,0
10/01/19,57,57,57,57,49.261471,0
11/01/19,57,57,57,57,49.261471,0
14/01/19,57,57,57,57,49.261471,0
15/01/19,57,57,57,57,49.261471,0
16/01/19,57,57,57,57,49.261471,0
17/01/19,57,57,57,57,49.261471,0
18/01/19,57,57,57,57,49.261471,0
21/01/19,57,57,57,57,49.261471,0
22/01/19,57,57,57,57,49.261471,0
23/01/19,57,57,57,57,49.261471,0
24/01/19,57,57,57,57,49.261471,0
25/01/19,57,57,57,57,49.261471,0
28/01/19,57,57,57,57,49.261471,0
29/01/19,57,57,57,57,49.261471,0
30/01/19,57,57,57,57,49.261471,0
31/01/19,57,57,57,57,49.261471,83400
01/02/19,57,57,57,57,49.261471,0
05/02/19,57,57,57,57,49.261471,0
06/02/19,57,57,57,57,49.261471,0
07/02/19,57,57,57,57,49.261471,0
08/02/19,57,57,57,57,49.261471,0
11/02/19,57,57,57,57,49.261471,0
12/02/19,57,57,57,57,49.261471,0
13/02/19,57,57,57,57,49.261471,0
14/02/19,57,57,57,57,49.261471,0
15/02/19,57,57,57,57,49.261471,0
18/02/19,57,57,57,57,49.261471,0
19/02/19,57,57,57,57,49.261471,0
20/02/19,57,57,57,57,49.261471,0
21/02/19,57,57,57,57,49.261471,0
22/02/19,57,57,57,57,49.261471,0
25/02/19,57,57,57,57,49.261471,0
26/02/19,57,57,57,57,49.261471,0
27/02/19,57,57,57,57,49.261471,0
28/02/19,57,57,57,57,49.261471,0
01/03/19,57,57,57,57,49.261471,0
04/03/19,57,57,57,57,49.261471,0
05/03/19,57,57,57,57,49.261471,0
06/03/19,57,57,57,57,49.261471,100
07/03/19,57,57,57,57,49.261471,0
08/03/19,57,57,57,57,49.261471,0
11/03/19,57,57,57,57,49.261471,0
12/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,74581
13/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
14/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
15/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
19/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
20/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,20000
21/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,134990
22/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
25/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
26/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
27/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
28/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
29/03/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
01/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
02/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
03/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
04/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
05/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
08/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
09/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
10/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
11/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
12/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
15/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
16/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
17/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
22/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
23/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
24/04/19,58.040001,58.040001,58.040001,58.040001,50.160275,0
