Date,Open,High,Low,Close,Adj Close,Volume,Nombre
20/12/18,48.490002,49.830002,48.16,49.720001,47.304199,19012648,Walmart_de_Mexico
21/12/18,49.880001,50.490002,49.209999,49.689999,47.275646,28361942,Walmart_de_Mexico
24/12/18,49.599998,50.099998,49.27,49.66,47.247116,2305215,Walmart_de_Mexico
26/12/18,49.419998,49.990002,49.419998,49.709999,47.294678,6171170,Walmart_de_Mexico
27/12/18,49.549999,49.990002,49.119999,49.459999,47.05682,9667695,Walmart_de_Mexico
28/12/18,49.490002,49.790001,49.029999,49.400002,46.999748,10351440,Walmart_de_Mexico
31/12/18,49.59,50.09,49.580002,49.970001,47.542049,6823432,Walmart_de_Mexico
02/01/19,50,50.099998,49.5,49.720001,47.304199,8464919,Walmart_de_Mexico
03/01/19,49.599998,49.970001,48.080002,48.75,46.381325,11701824,Walmart_de_Mexico
04/01/19,48.869999,49.77,48.32,49.66,47.247116,13447123,Walmart_de_Mexico
07/01/19,49.779999,50.310001,49.400002,49.84,47.418362,10996330,Walmart_de_Mexico
08/01/19,49.990002,50.700001,49.849998,50.52,48.065323,13410223,Walmart_de_Mexico
09/01/19,50.259998,50.830002,49.580002,49.880001,47.456425,29959091,Walmart_de_Mexico
10/01/19,49.880001,50.189999,48.860001,48.919998,46.54306,15825703,Walmart_de_Mexico
11/01/19,48.970001,48.970001,47.900002,48.110001,45.772427,18996488,Walmart_de_Mexico
14/01/19,47.990002,49.619999,47.91,49.419998,47.018768,12320420,Walmart_de_Mexico
15/01/19,49.540001,49.93,49.310001,49.759998,47.342251,13106206,Walmart_de_Mexico
16/01/19,49.799999,49.799999,48.759998,49.310001,46.91412,12682155,Walmart_de_Mexico
17/01/19,49.299999,49.98,49.16,49.5,47.094887,13023724,Walmart_de_Mexico
18/01/19,49.66,50,49.130001,49.369999,46.971195,13753795,Walmart_de_Mexico
21/01/19,49.25,49.669998,48.200001,48.48,46.124447,3839272,Walmart_de_Mexico
22/01/19,48.470001,49.18,48.150002,48.560001,46.200558,11794659,Walmart_de_Mexico
23/01/19,48.869999,50,48.400002,48.959999,46.58112,17572067,Walmart_de_Mexico
24/01/19,49.080002,49.279999,48.060001,48.279999,45.934147,16056685,Walmart_de_Mexico
25/01/19,48.509998,48.779999,47.66,47.759998,45.439426,13122103,Walmart_de_Mexico
28/01/19,47.849998,49.049999,47.849998,48.52,46.162495,27286852,Walmart_de_Mexico
29/01/19,48.84,50.169998,48.639999,50.040001,47.608646,25954500,Walmart_de_Mexico
30/01/19,50,50,49.310001,49.860001,47.437393,18546524,Walmart_de_Mexico
31/01/19,49.98,50.529999,49.700001,50.200001,47.760872,18995270,Walmart_de_Mexico
01/02/19,50.380001,50.490002,49.509998,49.619999,47.209049,15916031,Walmart_de_Mexico
05/02/19,49.700001,50.880001,49.639999,50.369999,47.922604,10326092,Walmart_de_Mexico
06/02/19,50.560001,50.580002,49.16,49.279999,46.885567,10716229,Walmart_de_Mexico
07/02/19,49.209999,50.130001,49.189999,49.59,47.180504,13269239,Walmart_de_Mexico
08/02/19,49.59,50.040001,49.32,49.400002,46.999748,11222750,Walmart_de_Mexico
11/02/19,49.450001,50.25,49.310001,49.599998,47.190018,9113724,Walmart_de_Mexico
12/02/19,49.619999,50.040001,48.029999,48.540001,46.181526,13328315,Walmart_de_Mexico
13/02/19,48.490002,48.759998,48.110001,48.490002,46.133961,13377462,Walmart_de_Mexico
14/02/19,48.830002,51.52,48.599998,51.470001,48.969166,23574396,Walmart_de_Mexico
15/02/19,51.560001,52.669998,51.02,52.48,49.930092,15934970,Walmart_de_Mexico
18/02/19,52.740002,52.889999,51.82,52.349998,49.806404,2981266,Walmart_de_Mexico
19/02/19,52.360001,52.790001,51.849998,52.709999,50.148914,18664766,Walmart_de_Mexico
20/02/19,52.689999,52.919998,51.91,52.689999,50.129883,14902689,Walmart_de_Mexico
21/02/19,52.75,52.98,52.32,52.700001,50.139404,15500083,Walmart_de_Mexico
22/02/19,52.560001,53.310001,52.16,53,50.424824,10711226,Walmart_de_Mexico
25/02/19,52.990002,53.139999,52.25,52.880001,50.443905,11433425,Walmart_de_Mexico
26/02/19,52.790001,53.080002,52,52.450001,50.033707,10639697,Walmart_de_Mexico
27/02/19,52.25,52.389999,51.380001,52.259998,49.852467,10191029,Walmart_de_Mexico
28/02/19,52.400002,52.400002,49.73,49.849998,47.553486,18027972,Walmart_de_Mexico
01/03/19,50.27,50.27,48.900002,49.720001,47.429482,17794230,Walmart_de_Mexico
04/03/19,49.419998,49.73,48.77,49.59,47.305462,10266904,Walmart_de_Mexico
05/03/19,49.470001,50.110001,49.25,49.720001,47.429482,7114275,Walmart_de_Mexico
06/03/19,49.84,50.529999,49.599998,50.240002,47.925529,7440787,Walmart_de_Mexico
07/03/19,50.529999,50.75,49.82,50.549999,48.221241,10554094,Walmart_de_Mexico
08/03/19,50.669998,50.990002,49.720001,50.669998,48.33572,12443210,Walmart_de_Mexico
